 0 0.1585
 1  0.127
 2 0.2007
 3 0.1483
 4 0.1014
 5 0.0299
 6 0.1706
 7  0.201
 8 0.2161
 9  0.266
10 0.2308
12 0.2422
13  0.289
14  0.226
15 0.3929
16 0.3301
17 0.4198
18 0.3631
19 0.3724
20 0.3624
21 0.3323
22 0.5188
23 0.4285
24 0.4724
25 0.4528
26  0.481
27 0.5671
28 0.4076
29 0.4731
30 0.5239
31 0.4933
32 0.4905
33  0.627
34 0.5928
35 0.5736
36 0.5417
37 0.5419
38 0.5585
39 0.5575
40 0.6378
41 0.6625
42 0.5653
43 0.6124
44 0.6862
45 0.6085
46 0.6049
47  0.661
48 0.5653
49 0.6494
50 0.7067
51 0.6456
52 0.6587
53 0.7277
54 0.6917
55 0.6474
56 0.6782
57 0.6644
58 0.6978
59 0.7097
60 0.6316
61 0.6932
62 0.6991
63 0.7453
64 0.7364
65 0.7534
66  0.702
67 0.6501
68 0.7236
69 0.7361
70 0.7565
71 0.7308
72 0.6921
73 0.7264
74 0.7783
75 0.7327
76 0.7916
77 0.7546
78 0.7787
79 0.7636
