1 0.11888545
2 0.12792569
3 0.18773994
4 0.20619196
5 0.22613003
6 0.25816307
7 0.28821465
8 0.33056759
9 0.36408669
10 0.44305470
11 0.51975231
12 0.56127964
13 0.45547989
14 0.46955624
15 0.60066051
16 0.40540764
17 0.53448914
18 0.56462330
19 0.58257996
20 0.61576885
21 0.59261097
22 0.66819397
23 0.62097008
24 0.60842102
25 0.60458206
26 0.69494324
27 0.65642929
28 0.70220848
29 0.70472649
30 0.73155830
31 0.79153763
32 0.66563469
33 0.70439629
34 0.73003098
35 0.71942207
36 0.71599586
37 0.67145508
38 0.69374619
39 0.72379776
40 0.74992775
41 0.76177505
