 0 0.0588
 1 0.4271
 2 0.3589
 3 0.3958
 4 0.5014
 5  0.253
 6 0.5566
 7 0.4134
 8 0.4126
 9 0.4482
10 0.4014
12 0.4629
13 0.4801
14 0.6008
15 0.5202
16 0.4677
17 0.5556
18  0.516
19 0.5477
20 0.5369
21 0.5535
22 0.6447
23 0.6028
24 0.5983
25 0.5881
26  0.568
27 0.6892
28 0.5127
29 0.6059
30 0.6465
31 0.6371
32 0.6685
33 0.6061
34 0.6482
35 0.6376
36 0.6514
37 0.6457
38 0.6652
39 0.6453
40 0.6899
41 0.6816
42 0.7033
43 0.6641
44 0.6765
45 0.6762
46 0.6903
47  0.645
48 0.6074
49 0.7011
50 0.7315
51 0.6566
52  0.699
53 0.6733
54 0.7665
55 0.6753
56 0.6966
57 0.6809
58  0.682
59 0.7405
60 0.7552
61 0.7154
62 0.7555
63 0.7127
64 0.7526
65 0.8046
66 0.7192
67 0.7727
68 0.7444
69 0.7488
70 0.7354
71 0.7619
72 0.7654
73 0.7397
74 0.7457
75 0.7581
76 0.7876
77 0.7733
78 0.7833
79  0.744
