1 9.065016
2 11.925696
3 12.875130
4 15.508773
5 19.343653
6 19.756451
7 21.874098
8 24.177502
9 26.266253
10 26.811146
11 26.018576
12 30.831783
13 30.691437
14 31.814241
15 34.018578
16 37.118679
17 37.205364
18 40.094940
19 41.184727
20 41.708981
21 42.790504
22 43.995872
23 43.409702
24 45.890610
25 46.006191
26 50.844170
27 51.781219
28 53.122807
29 53.077400
30 54.555214
31 53.093910
32 55.884415
33 58.084625
34 60.094940
35 54.059856
36 60.800827
37 58.472652
38 57.585136
39 57.960785
40 62.324047
41 61.023735
42 62.464397
43 58.575851
